Team,Jahr,Siege,Niederlagen,GF,GA,+/-
Boston Bruins,1990,44,24,299,264,35
Buffalo Sabres,1990,31,30,292,278,14
Calgary Flames,1990,46,26,344,263,81
Chicago Blackhawks,1990,49,23,284,211,73
Detroit Red Wings,1990,34,38,273,298,-25
Edmonton Oilers,1990,37,37,272,272,0
Hartford Whalers,1990,31,38,238,276,-38
Los Angeles Kings,1990,46,24,340,254,86
Minnesota North Stars,1990,27,39,256,266,-10
Montreal Canadiens,1990,39,30,273,249,24
New Jersey Devils,1990,32,33,272,264,8
New York Islanders,1990,25,45,223,290,-67
New York Rangers,1990,36,31,297,265,32
Philadelphia Flyers,1990,33,37,252,267,-15
Pittsburgh Penguins,1990,41,33,342,305,37
Quebec Nordiques,1990,16,50,236,354,-118
St. Louis Blues,1990,47,22,310,250,60
Toronto Maple Leafs,1990,23,46,241,318,-77
Vancouver Canucks,1990,28,43,243,315,-72
Washington Capitals,1990,37,36,258,258,0
Winnipeg Jets,1990,26,43,260,288,-28
Boston Bruins,1991,36,32,270,275,-5
Buffalo Sabres,1991,31,37,289,299,-10
Calgary Flames,1991,31,37,296,305,-9
Chicago Blackhawks,1991,36,29,257,236,21
Detroit Red Wings,1991,43,25,320,256,64
Edmonton Oilers,1991,36,34,295,297,-2
Hartford Whalers,1991,26,41,247,283,-36
Los Angeles Kings,1991,35,31,287,296,-9
Minnesota North Stars,1991,32,42,246,278,-32
Montreal Canadiens,1991,41,28,267,207,60
New Jersey Devils,1991,38,31,289,259,30
New York Islanders,1991,34,35,291,299,-8
New York Rangers,1991,50,25,321,246,75
Philadelphia Flyers,1991,32,37,252,273,-21
Pittsburgh Penguins,1991,39,32,343,308,35
Quebec Nordiques,1991,20,48,255,318,-63
San Jose Sharks,1991,17,58,219,359,-140
St. Louis Blues,1991,36,33,279,266,13
Toronto Maple Leafs,1991,30,43,234,294,-60
Vancouver Canucks,1991,42,26,285,250,35
Washington Capitals,1991,45,27,330,275,55
Winnipeg Jets,1991,33,32,251,244,7
Boston Bruins,1992,51,26,332,268,64
Buffalo Sabres,1992,38,36,335,297,38
Calgary Flames,1992,43,30,322,282,40
Chicago Blackhawks,1992,47,25,279,230,49
Detroit Red Wings,1992,47,28,369,280,89
Edmonton Oilers,1992,26,50,242,337,-95
Hartford Whalers,1992,26,52,284,369,-85
Los Angeles Kings,1992,39,35,338,340,-2
Minnesota North Stars,1992,36,38,272,293,-21
Montreal Canadiens,1992,48,30,326,280,46
New Jersey Devils,1992,40,37,308,299,9
New York Islanders,1992,40,37,335,297,38
New York Rangers,1992,34,39,304,308,-4
Ottawa Senators,1992,10,70,202,395,-193
Philadelphia Flyers,1992,36,37,319,319,0
Pittsburgh Penguins,1992,56,21,367,268,99
Quebec Nordiques,1992,47,27,351,300,51
San Jose Sharks,1992,11,71,218,414,-196
St. Louis Blues,1992,37,36,282,278,4
Tampa Bay Lightning,1992,23,54,245,332,-87
Toronto Maple Leafs,1992,44,29,288,241,47
Vancouver Canucks,1992,46,29,346,278,68
Washington Capitals,1992,43,34,325,286,39
Winnipeg Jets,1992,40,37,322,320,2
Mighty Ducks of Anaheim,1993,33,46,229,251,-22
Boston Bruins,1993,42,29,289,252,37
Buffalo Sabres,1993,43,32,282,218,64
Calgary Flames,1993,42,29,302,256,46
Chicago Blackhawks,1993,39,36,254,240,14
Dallas Stars,1993,42,29,286,265,21
Detroit Red Wings,1993,46,30,356,275,81
Edmonton Oilers,1993,25,45,261,305,-44
Florida Panthers,1993,33,34,233,233,0
Hartford Whalers,1993,27,48,227,288,-61
Los Angeles Kings,1993,27,45,294,322,-28
Montreal Canadiens,1993,41,29,283,248,35
New Jersey Devils,1993,47,25,306,220,86
New York Islanders,1993,36,36,282,264,18
New York Rangers,1993,52,24,299,231,68
Ottawa Senators,1993,14,61,201,397,-196
Philadelphia Flyers,1993,35,39,294,314,-20
Pittsburgh Penguins,1993,44,27,299,285,14
Quebec Nordiques,1993,34,42,277,292,-15
San Jose Sharks,1993,33,35,252,265,-13
St. Louis Blues,1993,40,33,270,283,-13
Tampa Bay Lightning,1993,30,43,224,251,-27
Toronto Maple Leafs,1993,43,29,280,243,37
Vancouver Canucks,1993,41,40,279,276,3
Washington Capitals,1993,39,35,277,263,14
Winnipeg Jets,1993,24,51,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,125,164,-39
Boston Bruins,1994,27,18,150,127,23
Buffalo Sabres,1994,22,19,130,119,11
Calgary Flames,1994,24,17,163,135,28
Chicago Blackhawks,1994,24,19,156,115,41
Dallas Stars,1994,17,23,136,135,1
Detroit Red Wings,1994,33,11,180,117,63
Edmonton Oilers,1994,17,27,136,183,-47
Florida Panthers,1994,20,22,115,127,-12
Hartford Whalers,1994,19,24,127,141,-14
Los Angeles Kings,1994,16,23,142,174,-32
Montreal Canadiens,1994,18,23,125,148,-23
New Jersey Devils,1994,22,18,136,121,15
New York Islanders,1994,15,28,126,158,-32
New York Rangers,1994,22,23,139,134,5
Ottawa Senators,1994,9,34,117,174,-57
Philadelphia Flyers,1994,28,16,150,132,18
Pittsburgh Penguins,1994,29,16,181,158,23
Quebec Nordiques,1994,30,13,185,134,51
San Jose Sharks,1994,19,25,129,161,-32
St. Louis Blues,1994,28,15,178,135,43
Tampa Bay Lightning,1994,17,28,120,144,-24
Toronto Maple Leafs,1994,21,19,135,146,-11
Vancouver Canucks,1994,18,18,153,148,5
Washington Capitals,1994,22,18,136,120,16
Winnipeg Jets,1994,16,25,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,234,247,-13
Boston Bruins,1995,40,31,282,269,13
Buffalo Sabres,1995,33,42,247,262,-15
Calgary Flames,1995,34,37,241,240,1
Chicago Blackhawks,1995,40,28,273,220,53
Colorado Avalanche,1995,47,25,326,240,86
Dallas Stars,1995,26,42,227,280,-53
Detroit Red Wings,1995,62,13,325,181,144
Edmonton Oilers,1995,30,44,240,304,-64
Florida Panthers,1995,41,31,254,234,20
Hartford Whalers,1995,34,39,237,259,-22
Los Angeles Kings,1995,24,40,256,302,-46
Montreal Canadiens,1995,40,32,265,248,17
New Jersey Devils,1995,37,33,215,202,13
New York Islanders,1995,22,50,229,315,-86
New York Rangers,1995,41,27,272,237,35
Ottawa Senators,1995,18,59,191,291,-100
Philadelphia Flyers,1995,45,24,282,208,74
Pittsburgh Penguins,1995,49,29,362,284,78
San Jose Sharks,1995,20,55,252,357,-105
St. Louis Blues,1995,32,34,219,248,-29
Tampa Bay Lightning,1995,38,32,238,248,-10
Toronto Maple Leafs,1995,34,36,247,252,-5
Vancouver Canucks,1995,32,35,278,278,0
Washington Capitals,1995,39,32,234,204,30
Winnipeg Jets,1995,36,40,275,291,-16
Mighty Ducks of Anaheim,1996,36,33,245,233,12
Boston Bruins,1996,26,47,234,300,-66
Buffalo Sabres,1996,40,30,237,208,29
Calgary Flames,1996,32,41,214,239,-25
Chicago Blackhawks,1996,34,35,223,210,13
Colorado Avalanche,1996,49,24,277,205,72
Dallas Stars,1996,48,26,252,198,54
Detroit Red Wings,1996,38,26,253,197,56
Edmonton Oilers,1996,36,37,252,247,5
Florida Panthers,1996,35,28,221,201,20
Hartford Whalers,1996,32,39,226,256,-30
Los Angeles Kings,1996,28,43,214,268,-54
Montreal Canadiens,1996,31,36,249,276,-27
New Jersey Devils,1996,45,23,231,182,49
