Aktivitätstyp;Datum;Distanz;Kalorien;Zeit;Pace;Ø Herzfrequenz;Maximale Herzfrequenz;Aerober TE;Ø Trittfrequenz;Max. Trittfrequenz;Ø Geschwindigkeit;Maximale Geschwindigkeit;Anstieg gesamt;Abstieg gesamt;Ø Schrittlänge;Schritte;Anzahl der Runden;Minimale Höhe;Maximale Höhe
Laufen;04.06.25 16:54;5,00;320;00:27:15;00:05:27;133;159;3.0;166;181;5:27;3:31;33;33;1.10;4,464;5;32;57
Laufen;03.06.25 17:50;4,41;294;00:22:28;00:05:06;138;144;3.0;172;176;5:06;4:46;11;5;1.13;3,818;5;43;54
Laufen;02.06.25 17:44;6,42;358;00:38:11;00:05:57;119;143;2.0;163;189;5:57;2:39;18;13;1.03;6,170;7;43;54
Laufen;31.05.25 08:57;5,00;305;00:31:38;00:06:20;122;152;2.3;156;183;6:20;3:42;34;37;0.98;4,864;5;38;54
Laufen;30.05.25 11:27;10,00;673;00:58:21;00:05:50;133;141;2.9;165;171;5:50;5:12;40;35;1.03;9,558;10;36;49
Laufen;28.05.25 17:16;4,60;315;00:26:35;00:05:47;134;163;2.8;162;180;5:47;3:53;28;31;1.05;4,242;5;42;52
Laufen;26.05.25 16:43;5,60;364;00:32:33;00:05:49;126;138;2.5;164;169;5:49;5:16;19;17;1.04;5,304;6;42;53
Laufen;24.05.25 08:55;6,30;432;00:35:15;00:05:36;133;141;2.8;165;170;5:36;5:17;7;16;1.07;5,776;7;32;49
Laufen;06.05.25 16:28;5,00;316;00:25:55;00:05:11;131;142;2.7;170;175;5:11;4:42;14;12;1.12;4,362;5;43;53
Laufen;01.05.25 12:27;8,20;528;00:45:03;00:05:30;131;145;3.0;171;176;5:30;5:05;19;13;1.05;7,634;9;42;50
Laufen;29.04.25 17:23;11,06;692;01:02:01;00:05:36;130;140;2.7;170;179;5:37;4:49;29;20;1.04;10,446;12;41;50
Laufen;27.04.25 14:48;12,70;740;01:13:30;00:05:47;124;136;2.6;169;176;5:47;4:21;31;18;1.01;12,336;13;39;49
Laufen;25.04.25 15:56;10,10;508;01:02:08;00:06:09;111;122;2.0;169;176;6:09;4:37;35;25;0.95;10,378;11;36;50
Laufen;14.04.25 14:10;5,86;384;00:33:41;00:05:45;127;153;2.5;168;180;5:45;4:07;19;12;1.01;5,628;6;43;53
Laufen;10.04.25 09:19;9,00;582;00:44:39;00:04:58;139;154;3.7;174;181;4:58;4:17;16;19;1.15;7,694;9;37;53
Laufen;08.04.25 16:17;6,67;405;00:45:44;00:06:51;113;154;2.1;155;192;6:51;3:12;63;47;0.91;7,008;7;43;65
Laufen;07.04.25 14:16;6,00;336;00:34:01;00:05:40;129;157;2.1;170;174;5:40;4:29;18;10;1.03;5,742;6;43;57
Laufen;30.03.25 14:09;21,49;1,492;01:46:26;00:04:57;151;161;4.6;176;224;4:57;3:55;76;96;1.13;18,578;22;-5;26
Laufen;23.03.25 10:31;11,00;721;00:56:19;00:05:07;137;150;3.4;172;179;5:07;4:21;13;21;1.12;9,600;11;33;52
Laufen;19.03.25 09:49;7,00;456;00:37:18;00:05:20;132;142;3.0;168;178;5:20;4:52;20;17;1.10;6,214;7;83;93
Laufen;15.03.25 09:44;19,00;1,036;01:52:01;00:05:54;123;139;2.9;172;179;5:54;3:36;66;36;0.98;19,060;19;32;51
Laufen;13.03.25 09:54;5,50;385;00:29:56;00:05:27;133;142;2.9;172;177;5:27;4:35;10;15;1.05;5,116;6;36;47
Laufen;09.03.25 06:57;5,00;319;00:23:28;00:04:42;138;149;3.1;179;186;4:42;4:19;29;19;1.18;4,172;6;43;56
Laufen;08.03.25 09:14;20,00;1,059;02:02:13;00:06:07;117;135;2.7;170;178;6:07;4:57;54;32;0.95;20,588;20;37;53
