Datum,Temp. [Max.],Temp. [Min],Durchschnittstemperatur
05.09.2024,29.4,16.4,22.9
07.09.2024,28.2,14.5,21.35
10.09.2024,18.1,12.7,15.4
11.09.2024,15.2,9.1,12.149999999999999
12.09.2024,14.4,7.9,11.15
14.09.2024,17.1,5.4,11.25
16.09.2024,21.5,12.2,16.85
18.09.2024,23.1,12.8,17.950000000000003
20.09.2024,24.3,12.4,18.35
23.09.2024,21.4,13.6,17.5
29.09.2024,14.7,5.4,10.05
03.10.2024,13.9,0.5,7.2
05.10.2024,16.7,2.1,9.4
07.10.2024,19.4,12.3,15.85
09.10.2024,15.8,13.5,14.65
12.10.2024,12.5,5.4,8.95
14.10.2024,11.0,5.9,8.45
16.10.2024,19.2,12.2,15.7
18.10.2024,20.7,11.4,16.05
20.10.2024,17.6,11.4,14.5
05.11.2024,10.9,0.4,5.65
06.11.2024,7.9,4.7,6.300000000000001
07.11.2024,6.8,5.6,6.199999999999999
09.11.2024,8.6,6.3,7.449999999999999
10.11.2024,10.5,7.8,9.15
12.11.2024,10.4,7.2,8.8
14.11.2024,10.8,8.3,9.55
15.11.2024,9.2,6.7,7.949999999999999
16.11.2024,7.8,6.9,7.35
17.11.2024,9.2,4.4,6.8
19.11.2024,11.3,2.4,6.8500000000000005
21.11.2024,2.4,-1.5,0.44999999999999996
22.11.2024,4.2,-1.1,1.55
24.11.2024,18.1,0.9,9.5
25.11.2024,1.7,0.9,1.3
26.11.2024,11.4,7.1,9.25
27.11.2024,12.1,6.6,9.35
28.11.2024,9.3,4.2,6.75
29.11.2024,8.1,0.1,4.1
30.11.2024,7.6,1.6,4.6
03.12.2024,7.9,2.5,5.2
04.12.2024,5.9,1.8,3.85
05.12.2024,7.2,3.8,5.5
07.12.2024,10.2,4.9,7.55
10.12.2024,5.8,0.5,3.15
12.12.2024,3.3,2.3,2.8
14.12.2024,0.5,0.9,0.7
15.12.2024,9.2,2.7,5.949999999999999
17.12.2024,9.2,0.7,4.949999999999999
18.12.2024,12.7,6.7,9.7
25.12.2024,8.3,5.7,7.0
26.12.2024,7.7,1.4,4.55
28.12.2024,4.3,-0.3,2.0
30.12.2024,3.9,0.1,2.0
31.12.2024,4.9,0.0,2.45
03.01.2025,3.4,0.9,2.15
05.01.2025,11.7,0.2,5.949999999999999
07.01.2025,5.7,1.8,3.75
08.01.2025,4.7,0.4,2.5500000000000003
12.01.2025,3.8,0.2,2.0
19.01.2025,-0.7,-3.2,-1.9500000000000002
01.02.2025,6.8,-2.3,2.25
03.02.2025,6.7,-2.9,1.9000000000000001
06.02.2025,0.6,3.5,2.05
08.02.2025,9.6,1.3,5.45
10.02.2025,0.4,1.3,0.8500000000000001
11.02.2025,6.2,2.9,4.55
13.02.2025,3.3,-1.1,1.0999999999999999
16.02.2025,4.8,-0.1,2.35
19.02.2025,5.5,-1.2,2.15
20.02.2025,11.8,0.2,6.0
23.02.2025,15.1,7.6,11.35
25.02.2025,12.7,0.6,6.6499999999999995
26.02.2025,10.6,5.2,7.9
01.03.2025,5.3,-0.3,2.5
02.03.2025,10.4,-1.6,4.4
04.03.2025,13.1,-2.3,5.4
06.03.2025,18.7,0.3,9.5
08.03.2025,19.8,3.5,11.65
09.03.2025,19.2,2.4,10.799999999999999
13.03.2025,7.6,-0.1,3.75
15.03.2025,0.8,-1.2,-0.19999999999999996
19.03.2025,18.2,1.1,9.65
23.03.2025,16.1,0.8,8.450000000000001
30.03.2025,13.6,5.1,9.35
07.04.2025,15.1,-0.3,7.3999999999999995
08.04.2025,17.5,0.4,8.95
10.04.2025,14.3,5.8,10.05
14.04.2025,20.0,8.1,14.05
25.04.2025,13.9,7.1,10.5
27.04.2025,20.5,5.9,13.2
29.04.2025,24.2,6.1,15.149999999999999
01.05.2025,28.5,9.9,19.2
06.05.2025,15.7,3.5,9.6
24.05.2025,16.3,5.4,10.850000000000001
26.05.2025,19.2,11.3,15.25
28.05.2025,19.4,12.2,15.799999999999999
30.05.2025,25.1,14.3,19.700000000000003
31.05.2025,26.8,13.7,20.25
02.06.2025,19.4,11.2,15.299999999999999
03.06.2025,23.8,9.3,16.55
04.06.2025,20.0,12.0,16.0
